订单编号,客户ID,客户名称,客户编号,客户省份,销售代表ID,下单日期,预计送货日期,实际送货日期,产品ID,产品名称,数量, 单价 ,金额
SO45266,29955,广东29955自行车销售有限公司,10-4020-000018,广东,212,1/1/15,1/13/15,1/2/15,743,山地自行车,11,2039.994,22439.934
SO45266,29955,广东29955自行车销售有限公司,10-4020-000018,广东,212,1/1/15,1/13/15,1/6/15,745,山地自行车车架,3,722.5949,2167.7847
SO45267,29611,福建29611自行车销售有限公司,10-4020-000271,福建,211,1/1/15,1/13/15,1/3/15,709,公路自行车,5,874.794,4373.97
SO45268,29548,江苏29548自行车销售有限公司,10-4020-000318,江苏,201,1/1/15,1/13/15,1/8/15,709,公路自行车,2,419.4589,838.9178
SO45269,29620,福建29620自行车销售有限公司,10-4020-000353,福建,211,1/1/15,1/13/15,1/8/15,743,山地自行车,1,2024.994,2024.994
SO45270,29888,江苏29888自行车销售有限公司,10-4020-000206,江苏,201,1/1/15,1/13/15,1/14/15,709,公路自行车,32,2146.962,68702.784
SO45270,29888,江苏29888自行车销售有限公司,10-4020-000206,江苏,201,1/1/15,1/13/15,1/12/15,731,帽子,2,5.1865,10.373
SO45270,29888,江苏29888自行车销售有限公司,10-4020-000206,江苏,201,1/1/15,1/13/15,1/3/15,759,长袖运动衫,2,28.8404,57.6808
SO45271,29555,湖南29555自行车销售有限公司,10-4020-000162,湖南,210,1/1/15,1/13/15,1/5/15,709,公路自行车,11,874.794,9622.734
SO45272,29539,北京29539自行车销售有限公司,10-4020-000210,北京,205,1/1/15,1/13/15,1/8/15,709,公路自行车,9,419.4589,3775.1301
SO45273,29717,四川29717自行车销售有限公司,10-4020-000164,四川,214,1/1/15,1/13/15,1/10/15,743,山地自行车,20,2039.994,40799.88
SO45274,29818,甘肃29818自行车销售有限公司,10-4020-000697,甘肃,213,1/1/15,1/13/15,1/12/15,743,山地自行车,33,2039.994,67319.802
SO45274,29818,甘肃29818自行车销售有限公司,10-4020-000697,甘肃,213,1/1/15,1/13/15,1/14/15,758,运动头盔,1,20.1865,20.1865
SO45274,29818,甘肃29818自行车销售有限公司,10-4020-000697,甘肃,213,1/1/15,1/13/15,1/15/15,759,长袖运动衫,1,28.8404,28.8404
SO45275,30011,江苏30011自行车销售有限公司,10-4020-000531,江苏,201,1/1/15,1/13/15,1/14/15,709,公路自行车,16,874.794,13996.704
SO45276,29813,新疆29813自行车销售有限公司,10-4020-000011,新疆,213,1/1/15,1/13/15,1/2/15,743,山地自行车,3,2039.994,6119.982
SO45277,29509,新疆29509自行车销售有限公司,10-4020-000558,新疆,213,1/1/15,1/13/15,1/11/15,709,公路自行车,32,2146.962,68702.784
SO45277,29509,新疆29509自行车销售有限公司,10-4020-000558,新疆,213,1/1/15,1/13/15,1/3/15,731,帽子,3,5.1865,15.5595
SO45278,29892,吉林29892自行车销售有限公司,10-4020-000191,吉林,207,1/1/15,1/13/15,1/13/15,709,公路自行车,29,2146.962,62261.898
SO45278,29892,吉林29892自行车销售有限公司,10-4020-000191,吉林,207,1/1/15,1/13/15,1/9/15,759,长袖运动衫,1,28.8404,28.8404
SO45279,29988,海南29988自行车销售有限公司,10-4020-000208,海南,209,1/1/15,1/13/15,1/8/15,709,公路自行车,2,419.4589,838.9178
SO45279,29988,海南29988自行车销售有限公司,10-4020-000208,海南,209,1/1/15,1/13/15,1/7/15,711,公路自行车车架,1,183.9382,183.9382
SO45280,29946,辽宁29946自行车销售有限公司,10-4020-000102,辽宁,207,1/1/15,1/13/15,1/12/15,709,公路自行车,20,2146.962,42939.24
SO45280,29946,辽宁29946自行车销售有限公司,10-4020-000102,辽宁,207,1/1/15,1/13/15,1/3/15,711,公路自行车车架,2,183.9382,367.8764
SO45281,29554,天津29554自行车销售有限公司,10-4020-000198,天津,208,1/1/15,1/13/15,1/8/15,709,公路自行车,3,874.794,2624.382
SO45282,29680,北京29680自行车销售有限公司,10-4020-000389,北京,205,1/1/15,1/13/15,1/16/15,743,山地自行车,4,2039.994,8159.976
SO45282,29680,北京29680自行车销售有限公司,10-4020-000389,北京,205,1/1/15,1/13/15,1/10/15,752,山地自行车袜子,2,5.7,11.4
SO45283,29773,湖南29773自行车销售有限公司,10-4020-000001,湖南,210,1/1/15,1/13/15,1/12/15,709,公路自行车,29,2146.962,62261.898
SO45283,29773,湖南29773自行车销售有限公司,10-4020-000001,湖南,210,1/1/15,1/13/15,1/11/15,758,运动头盔,2,20.1865,40.373
SO45284,30074,西藏30074自行车销售有限公司,10-4020-000533,西藏,213,1/1/15,1/13/15,1/12/15,709,公路自行车,31,2146.962,66555.822
SO45284,30074,西藏30074自行车销售有限公司,10-4020-000533,西藏,213,1/1/15,1/13/15,1/15/15,731,帽子,1,5.1865,5.1865
SO45285,29961,河北29961自行车销售有限公司,10-4020-000036,河北,208,1/1/15,1/13/15,1/14/15,709,公路自行车,23,2146.962,49380.126
SO45285,29961,河北29961自行车销售有限公司,10-4020-000036,河北,208,1/1/15,1/13/15,1/12/15,711,公路自行车车架,1,356.898,356.898
SO45286,29865,江苏29865自行车销售有限公司,10-4020-000259,江苏,201,1/1/15,1/13/15,1/2/15,709,公路自行车,7,874.794,6123.558
SO45287,29764,湖北29764自行车销售有限公司,10-4020-000471,湖北,203,1/1/15,1/13/15,1/13/15,709,公路自行车,1,419.4589,419.4589
SO45288,29749,广西29749自行车销售有限公司,10-4020-000584,广西,209,1/1/15,1/13/15,1/4/15,709,公路自行车,46,2146.962,98760.252
SO45288,29749,广西29749自行车销售有限公司,10-4020-000584,广西,209,1/1/15,1/13/15,1/16/15,711,公路自行车车架,8,356.898,2855.184
SO45288,29749,广西29749自行车销售有限公司,10-4020-000584,广西,209,1/1/15,1/13/15,1/7/15,731,帽子,6,5.1865,31.119
SO45288,29749,广西29749自行车销售有限公司,10-4020-000584,广西,209,1/1/15,1/13/15,1/14/15,758,运动头盔,7,20.1865,141.3055
SO45288,29749,广西29749自行车销售有限公司,10-4020-000584,广西,209,1/1/15,1/13/15,1/5/15,759,长袖运动衫,10,28.8404,288.404
SO45289,29945,青海29945自行车销售有限公司,10-4020-000099,青海,213,1/1/15,1/13/15,1/8/15,743,山地自行车,17,2039.994,34679.898
SO45289,29945,青海29945自行车销售有限公司,10-4020-000099,青海,213,1/1/15,1/13/15,1/6/15,745,山地自行车车架,7,809.76,5668.32
SO45289,29945,青海29945自行车销售有限公司,10-4020-000099,青海,213,1/1/15,1/13/15,1/15/15,752,山地自行车袜子,2,5.7,11.4
SO45290,30056,上海30056自行车销售有限公司,10-4020-000384,上海,202,1/1/15,1/13/15,1/4/15,743,山地自行车,15,2039.994,30599.91
SO45290,30056,上海30056自行车销售有限公司,10-4020-000384,上海,202,1/1/15,1/13/15,1/15/15,745,山地自行车车架,4,818.7,3274.8
SO45290,30056,上海30056自行车销售有限公司,10-4020-000384,上海,202,1/1/15,1/13/15,1/8/15,752,山地自行车袜子,2,5.7,11.4
SO45291,30117,贵州30117自行车销售有限公司,10-4020-000328,贵州,214,1/1/15,1/13/15,1/3/15,709,公路自行车,59,2146.962,126670.758
SO45291,30117,贵州30117自行车销售有限公司,10-4020-000328,贵州,214,1/1/15,1/13/15,1/8/15,731,帽子,1,5.1865,5.1865
SO45291,30117,贵州30117自行车销售有限公司,10-4020-000328,贵州,214,1/1/15,1/13/15,1/7/15,759,长袖运动衫,2,28.8404,57.6808
SO45292,29728,海南29728自行车销售有限公司,10-4020-000696,海南,209,1/1/15,1/13/15,1/5/15,759,长袖运动衫,1,28.8404,28.8404
SO45293,30042,河北30042自行车销售有限公司,10-4020-000478,河北,208,1/1/15,1/13/15,1/4/15,709,公路自行车,4,419.4589,1677.8356
SO45294,30107,陕西30107自行车销售有限公司,10-4020-000650,陕西,213,1/1/15,1/13/15,1/13/15,743,山地自行车,15,2039.994,30599.91
SO45294,30107,陕西30107自行车销售有限公司,10-4020-000650,陕西,213,1/1/15,1/13/15,1/8/15,745,山地自行车车架,5,818.7,4093.5
SO45295,29571,广西29571自行车销售有限公司,10-4020-000289,广西,209,1/1/15,1/13/15,1/8/15,743,山地自行车,8,2039.994,16319.952
SO45295,29571,广西29571自行车销售有限公司,10-4020-000289,广西,209,1/1/15,1/13/15,1/14/15,752,山地自行车袜子,4,5.7,22.8
SO45296,29582,辽宁29582自行车销售有限公司,10-4020-000145,辽宁,207,1/1/15,1/13/15,1/8/15,731,帽子,5,5.1865,25.9325
SO45296,29582,辽宁29582自行车销售有限公司,10-4020-000145,辽宁,207,1/1/15,1/13/15,1/15/15,743,山地自行车,10,2039.994,20399.94
SO45296,29582,辽宁29582自行车销售有限公司,10-4020-000145,辽宁,207,1/1/15,1/13/15,1/15/15,745,山地自行车车架,5,809.76,4048.8
SO45296,29582,辽宁29582自行车销售有限公司,10-4020-000145,辽宁,207,1/1/15,1/13/15,1/16/15,758,运动头盔,6,20.1865,121.119
SO45296,29582,辽宁29582自行车销售有限公司,10-4020-000145,辽宁,207,1/1/15,1/13/15,1/2/15,759,长袖运动衫,3,28.8404,86.5212
SO45297,29675,西藏29675自行车销售有限公司,10-4020-000107,西藏,213,1/1/15,1/13/15,1/8/15,709,公路自行车,11,874.794,9622.734
SO45298,30076,湖南30076自行车销售有限公司,10-4020-000527,湖南,210,1/1/15,1/13/15,1/8/15,709,公路自行车,26,2146.962,55821.012
SO45298,30076,湖南30076自行车销售有限公司,10-4020-000527,湖南,210,1/1/15,1/13/15,1/14/15,731,帽子,1,5.1865,5.1865
